"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,54";"2017-11-06 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,90";"2017-11-06 00:00:00"
"Citadel Advisors II LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0,52";"2017-11-06 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Flow Traders N.V.";"NL0011279492";"0,82";"2017-11-06 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0,78";"2017-11-06 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"1,48";"2017-11-06 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,84";"2017-11-06 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Fugro N.V.";"NL0000352565";"1,19";"2017-11-03 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"1,41";"2017-11-03 00:00:00"
"GLG Partners LP";"Philips Lighting N.V.";"NL0011821392";"0,60";"2017-11-03 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,69";"2017-11-03 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,36";"2017-11-03 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"1,28";"2017-11-03 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,73";"2017-11-02 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"0,92";"2017-11-02 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,49";"2017-11-02 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,79";"2017-11-02 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"1,10";"2017-11-02 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1,21";"2017-11-01 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,74";"2017-11-01 00:00:00"
"GSA Capital Partners LLP";"Flow Traders N.V.";"NL0011279492";"0,53";"2017-11-01 00:00:00"
"Marshall Wace LLP";"Flow Traders N.V.";"NL0011279492";"1,41";"2017-11-01 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,53";"2017-11-01 00:00:00"
"Millennium International Management LP";"Gemalto N.V.";"NL0000400653";"0,50";"2017-11-01 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"0,92";"2017-11-01 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,99";"2017-11-01 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,60";"2017-10-31 00:00:00"
"Arrowgrass Capital Partners LLP";"Fugro N.V.";"NL0000352565";"0,57";"2017-10-31 00:00:00"
"AXA Investment Managers Chorus Limited";"PostNL N.V.";"NL0009739416";"0,60";"2017-10-31 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,79";"2017-10-31 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,61";"2017-10-31 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"0,84";"2017-10-31 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"1,01";"2017-10-31 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,59";"2017-10-31 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,52";"2017-10-30 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"0,81";"2017-10-30 00:00:00"
"Contour Asset Management LLC";"Gemalto N.V.";"NL0000400653";"1,02";"2017-10-30 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,90";"2017-10-30 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,59";"2017-10-30 00:00:00"
"Och-Ziff Management Europe Limited";"Fugro N.V.";"NL0000352565";"0,57";"2017-10-30 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,42";"2017-10-27 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,84";"2017-10-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,62";"2017-10-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,69";"2017-10-27 00:00:00"
"Marshall Wace LLP";"Flow Traders N.V.";"NL0011279492";"1,33";"2017-10-27 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,43";"2017-10-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,20";"2017-10-27 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,34";"2017-10-26 00:00:00"
"GLG Partners LP";"Philips Lighting N.V.";"NL0011821392";"0,50";"2017-10-26 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"1,12";"2017-10-26 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,79";"2017-10-25 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"0,72";"2017-10-25 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"1,26";"2017-10-25 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,82";"2017-10-25 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,61";"2017-10-24 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,50";"2017-10-24 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1,11";"2017-10-24 00:00:00"
"BlackRock Investment Management (UK) Limited";"Intertrust N.V.";"NL0010937058";"0,78";"2017-10-24 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Flow Traders N.V.";"NL0011279492";"0,70";"2017-10-24 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,69";"2017-10-24 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,68";"2017-10-24 00:00:00"
"AKO Capital LLP";"ARCADIS N.V.";"NL0006237562";"0,70";"2017-10-23 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,43";"2017-10-23 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,60";"2017-10-23 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"1,06";"2017-10-23 00:00:00"
"RAM Active Investments SA";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,53";"2017-10-23 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,81";"2017-10-23 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,70";"2017-10-23 00:00:00"
"Capital Fund Management S.A.";"Fugro N.V.";"NL0000352565";"0,51";"2017-10-21 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"1,20";"2017-10-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,43";"2017-10-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,29";"2017-10-20 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"0,62";"2017-10-20 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0,86";"2017-10-20 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,73";"2017-10-20 00:00:00"
"Lansdowne Partners (UK) LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,66";"2017-10-19 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,81";"2017-10-19 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,69";"2017-10-19 00:00:00"
"AKO Capital LLP";"ARCADIS N.V.";"NL0006237562";"0,50";"2017-10-18 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,34";"2017-10-18 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,60";"2017-10-18 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,20";"2017-10-18 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,88";"2017-10-18 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,70";"2017-10-18 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,29";"2017-10-17 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Vopak N.V.";"NL0009432491";"0,58";"2017-10-17 00:00:00"
"Capital Fund Management S.A.";"Wereldhave N.V.";"NL0000289213";"0,70";"2017-10-17 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"1,15";"2017-10-17 00:00:00"
"Marshall Wace LLP";"Flow Traders N.V.";"NL0011279492";"1,23";"2017-10-17 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,30";"2017-10-17 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,19";"2017-10-17 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,38";"2017-10-17 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"1,00";"2017-10-17 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,31";"2017-10-16 00:00:00"
"AXA Investment Managers Chorus Limited";"Fugro N.V.";"NL0000352565";"0,51";"2017-10-16 00:00:00"
"AXA Investment Managers Chorus Limited";"PostNL N.V.";"NL0009739416";"0,50";"2017-10-16 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,17";"2017-10-16 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,68";"2017-10-16 00:00:00"
"BlackRock Investment Management (UK) Limited";"Intertrust N.V.";"NL0010937058";"0,81";"2017-10-13 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Vopak N.V.";"NL0009432491";"0,61";"2017-10-13 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,26";"2017-10-13 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,11";"2017-10-12 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,32";"2017-10-12 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,54";"2017-10-12 00:00:00"
"AQR Capital Management, LLC";"Koninklijke KPN N.V.";"NL0000009082";"0,99";"2017-10-11 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1,00";"2017-10-11 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,71";"2017-10-11 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,57";"2017-10-11 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"1,02";"2017-10-10 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,20";"2017-10-10 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,68";"2017-10-10 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Vopak N.V.";"NL0009432491";"0,57";"2017-10-10 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,27";"2017-10-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,79";"2017-10-10 00:00:00"
"Millennium International Management LP";"Wereldhave N.V.";"NL0000289213";"0,90";"2017-10-10 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,43";"2017-10-10 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,71";"2017-10-10 00:00:00"
"AHL Partners LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,68";"2017-10-09 00:00:00"
"BlackRock Investment Management (UK) Limited";"Basic-Fit N.V.";"NL0011872650";"1,19";"2017-10-09 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,34";"2017-10-09 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1,31";"2017-10-09 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,23";"2017-10-09 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,73";"2017-10-09 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0,98";"2017-10-09 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,91";"2017-10-09 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,29";"2017-10-06 00:00:00"
"BlackRock Institutional Trust Company, National Association";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,52";"2017-10-06 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,72";"2017-10-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,55";"2017-10-06 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,33";"2017-10-06 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,78";"2017-10-05 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,66";"2017-10-05 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,90";"2017-10-04 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,83";"2017-10-04 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Flow Traders N.V.";"NL0011279492";"0,60";"2017-10-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,88";"2017-10-04 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,23";"2017-10-04 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,10";"2017-10-03 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"0,99";"2017-10-03 00:00:00"
"BlackRock Investment Management (UK) Limited";"Intertrust N.V.";"NL0010937058";"0,70";"2017-10-03 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"1,09";"2017-10-03 00:00:00"
"Lansdowne Partners (UK) LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0,70";"2017-10-03 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,11";"2017-10-03 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,36";"2017-10-02 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,82";"2017-10-02 00:00:00"
"BlackRock Investment Management (UK) Limited";"Brunel International N.V.";"NL0010776944";"1,25";"2017-10-02 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,39";"2017-10-02 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,60";"2017-10-02 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,39";"2017-09-30 00:00:00"
"AHL Partners LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,77";"2017-09-29 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,78";"2017-09-29 00:00:00"
"Philadelphia Financial Management of San Francisco, LLC";"Flow Traders N.V.";"NL0011279492";"1,22";"2017-09-29 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,89";"2017-09-29 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"1,10";"2017-09-28 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,72";"2017-09-28 00:00:00"
"BlackRock Investment Management (UK) Limited";"Intertrust N.V.";"NL0010937058";"0,65";"2017-09-28 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,61";"2017-09-28 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,15";"2017-09-28 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,62";"2017-09-27 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,92";"2017-09-27 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Vopak N.V.";"NL0009432491";"0,62";"2017-09-27 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"1,03";"2017-09-27 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,89";"2017-09-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,48";"2017-09-26 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"1,01";"2017-09-26 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"1,01";"2017-09-26 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,20";"2017-09-26 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"0,92";"2017-09-26 00:00:00"
"WorldQuant, LLC";"Fugro N.V.";"NL0000352565";"0,98";"2017-09-26 00:00:00"
"AHL Partners LLP";"Fugro N.V.";"NL0000352565";"1,49";"2017-09-25 00:00:00"
"AHL Partners LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,87";"2017-09-25 00:00:00"
"AQR Capital Management, LLC";"Gemalto N.V.";"NL0000400653";"0,50";"2017-09-25 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0,90";"2017-09-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2,00";"2017-09-22 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke Vopak N.V.";"NL0009432491";"0,50";"2017-09-22 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"0,81";"2017-09-22 00:00:00"
"WorldQuant, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,50";"2017-09-22 00:00:00"
"Marshall Wace LLP";"OCI N.V.";"NL0010558797";"0,92";"2017-09-21 00:00:00"
"Scopia Capital Management LP";"Philips Lighting N.V.";"NL0011821392";"0,69";"2017-09-21 00:00:00"
"AHL Partners LLP";"Koninklijke BAM Groep N.V.";"NL0000337319";"0,97";"2017-09-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,50";"2017-09-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,59";"2017-09-20 00:00:00"
"HBK Investments LP";"Fugro N.V.";"NL0000352565";"1,29";"2017-09-20 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0,99";"2017-09-20 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL0000352565";"0,91";"2017-09-20 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0,50";"2017-09-20 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,10";"2017-09-20 00:00:00"
